team,Position,Points,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Diff
Man City,1,93,38,29,6,3,99,26,73
Liverpool,2,92,38,28,8,2,94,26,68
Chelsea,3,74,38,21,11,6,76,33,43
Tottenham,4,71,38,22,5,11,69,40,29
Arsenal,5,69,38,22,3,13,61,48,13
Man United,6,58,38,16,10,12,57,57,0
West Ham,7,56,38,16,8,14,60,51,9
Leicester,8,52,38,14,10,14,62,59,3
Brighton,9,51,38,12,15,11,42,44,-2
Wolves,10,51,38,15,6,17,38,43,-5
Newcastle,11,49,38,13,10,15,44,62,-18
Crystal Palace,12,48,38,11,15,12,50,46,4
Aston Villa,13,45,38,13,6,19,52,54,-2
Brentford,14,46,38,13,7,18,48,56,-8
Southampton,15,40,38,9,13,16,43,67,-24
Leeds,16,38,38,9,11,18,42,79,-37
Everton,17,39,38,11,6,21,43,66,-23
Burnley,18,35,38,7,14,17,34,53,-19
Watford,19,23,38,6,5,27,34,77,-43
Norwich,20,22,38,5,7,26,23,84,-61
